ID,Front Camera,Rear Camera,Camera,Type
43,8,16,0.08333333333333333,Sensible
52,8,16,0.08333333333333333,Sensible
57,8,16,0.08333333333333333,Sensible
226,8,16,0.08333333333333333,Sensible
255,8,16,0.08333333333333333,Sensible
422,8,16,0.08333333333333333,Sensible
524,8,16,0.08333333333333333,Sensible
681,8,16,0.08333333333333333,Sensible
688,8,16,0.08333333333333333,Sensible
317,12,13,0.1015625,Sensible
634,12,13,0.1015625,Sensible
640,12,13,0.1015625,Sensible
716,12,13,0.1015625,Sensible
538,8,13,0.06770833333333333,Sensible
34,12,48,0.375,Photophile
149,12,48,0.375,Photophile
429,12,48,0.375,Photophile
505,12,48,0.375,Photophile
618,12,48,0.375,Photophile
713,12,48,0.375,Photophile
64,7,12,0.0546875,Sensible
99,7,12,0.0546875,Sensible
134,7,12,0.0546875,Sensible
153,7,12,0.0546875,Sensible
175,7,12,0.0546875,Sensible
188,7,12,0.0546875,Sensible
200,7,12,0.0546875,Sensible
220,7,12,0.0546875,Sensible
229,7,12,0.0546875,Sensible
236,7,12,0.0546875,Sensible
263,7,12,0.0546875,Sensible
287,7,12,0.0546875,Sensible
291,7,12,0.0546875,Sensible
359,7,12,0.0546875,Sensible
386,7,12,0.0546875,Sensible
410,7,12,0.0546875,Sensible
426,7,12,0.0546875,Sensible
453,7,12,0.0546875,Sensible
457,7,12,0.0546875,Sensible
487,7,12,0.0546875,Sensible
509,7,12,0.0546875,Sensible
525,7,12,0.0546875,Sensible
533,7,12,0.0546875,Sensible
534,7,12,0.0546875,Sensible
552,7,12,0.0546875,Sensible
554,7,12,0.0546875,Sensible
562,7,12,0.0546875,Sensible
588,7,12,0.0546875,Sensible
593,7,12,0.0546875,Sensible
675,7,12,0.0546875,Sensible
685,7,12,0.0546875,Sensible
699,7,12,0.0546875,Sensible
110,7,12,0.0546875,Sensible
154,7,12,0.0546875,Sensible
177,7,12,0.0546875,Sensible
204,7,12,0.0546875,Sensible
228,7,12,0.0546875,Sensible
246,7,12,0.0546875,Sensible
279,7,12,0.0546875,Sensible
299,7,12,0.0546875,Sensible
316,7,12,0.0546875,Sensible
367,7,12,0.0546875,Sensible
370,7,12,0.0546875,Sensible
398,7,12,0.0546875,Sensible
447,7,12,0.0546875,Sensible
459,7,12,0.0546875,Sensible
529,7,12,0.0546875,Sensible
576,7,12,0.0546875,Sensible
595,7,12,0.0546875,Sensible
621,7,12,0.0546875,Sensible
